category_id,category
1,Chinese
2,Japanese
3,Korean
4,Thai
5,Vietnamese
6,Pacific & Filipino
7,Indian
8,Pakistani & Afghani
9,Middle Eastern
10,Pan-Asian
11,North African
12,West African
13,General African
14,Mexican
15,Centroamerican
16,Southern Cone
17,Tropical South American
18,Caribbean
19,Western European
20,Central European
21,Eastern European
22,Nordic & Scandinavian
23,British & Irish
24,NorthAmerican
25,Australian
26,Pizza
27,Burgers & Fast Food
28,Seafood
29,Poke
30,Steakhouse & Grilled
31,Breakfast & brunch
32,Vegetarian & Vegan
33,Desserts & Bakeries
34,Fondue & Raclette
35,Rice & Grain-Based
36,Cafés
37,Restaurant
38,Buffet
39,Fine Dining
40,Bars & Nightlife
41,Food Markets & Wholesale
42,Food Industry & Supply
43,Eyebrow & Beauty Bars
44,Ethnic & Fusion
45,Family & Traditional
46,Snacks & Small Plates
47,Soup & Noodles
48,Unclassified
49,Mediterranean & Greek
50,Southeast Asian
51,South Asian
52,Latin American
53,Jewish & Kosher
54,Halal
55,Health & Organic
56,Chicken & Meat Dishes
57,Wok & Stir-Fry
58,Oyster Bars
59,Karaoke
60,Delivery & Takeout
61,Lunch
62,Hot Pot
63,Continental
64,European
65,Armenian
66,none
